lat,lon,cdi_value,cdi_class,severity,date
19.625,75.125,-0.26969,None,0,2024-08-14
19.625,75.375,-0.58319,D0,1,2024-08-14
19.625,75.625,-0.47274,None,0,2024-08-14
19.625,75.875,0.18757,None,0,2024-08-14
19.625,76.125,0.11786,None,0,2024-08-14
19.625,76.375,-0.40066,None,0,2024-08-14
19.625,76.625,-1.3879,D2,3,2024-08-14
19.625,76.875,-1.1825,D1,2,2024-08-14
19.625,77.125,-0.88084,D1,2,2024-08-14
19.625,77.375,-0.064212,None,0,2024-08-14
19.625,77.625,-0.0015817,None,0,2024-08-14
19.625,77.875,0.51422,None,0,2024-08-14
19.875,74.625,-0.031011,None,0,2024-08-14
19.875,74.875,-0.33914,None,0,2024-08-14
19.875,75.125,-0.91423,D1,2,2024-08-14
19.875,75.375,-0.7835,D1,2,2024-08-14
19.875,75.625,-0.21536,None,0,2024-08-14
19.875,75.875,0.029617,None,0,2024-08-14
19.875,76.125,-0.15414,None,0,2024-08-14
19.875,76.375,-0.26439,None,0,2024-08-14
19.875,76.625,-0.32842,None,0,2024-08-14
19.875,76.875,0.14466,None,0,2024-08-14
19.875,77.125,0.27082,None,0,2024-08-14
19.875,77.375,0.53994,None,0,2024-08-14
19.875,77.625,1.2771,None,0,2024-08-14
19.875,77.875,0.58489,None,0,2024-08-14
20.125,74.625,-0.24273,None,0,2024-08-14
20.125,74.875,-0.3223,None,0,2024-08-14
20.125,75.125,-0.88975,D1,2,2024-08-14
20.125,75.375,-0.52266,D0,1,2024-08-14
20.125,75.625,-0.34054,None,0,2024-08-14
20.125,75.875,-0.34342,None,0,2024-08-14
20.125,76.125,-0.31341,None,0,2024-08-14
20.125,76.375,-0.02325,None,0,2024-08-14
20.125,76.625,0.81905,None,0,2024-08-14
20.125,76.875,0.67056,None,0,2024-08-14
20.125,77.125,0.61016,None,0,2024-08-14
20.125,77.375,1.0082,None,0,2024-08-14
20.125,77.625,1.8013,None,0,2024-08-14
20.125,77.875,0.90426,None,0,2024-08-14
20.375,74.625,-0.53158,D0,1,2024-08-14
20.375,74.875,-0.25216,None,0,2024-08-14
20.375,75.125,-0.092175,None,0,2024-08-14
20.375,75.375,0.035656,None,0,2024-08-14
20.375,75.625,-0.026043,None,0,2024-08-14
20.375,75.875,0.010772,None,0,2024-08-14
20.375,76.125,0.083669,None,0,2024-08-14
20.375,76.375,0.90488,None,0,2024-08-14
20.375,76.625,0.81509,None,0,2024-08-14
20.375,76.875,0.77041,None,0,2024-08-14
20.375,77.125,0.34069,None,0,2024-08-14
20.375,77.375,0.88021,None,0,2024-08-14
20.375,77.625,1.262,None,0,2024-08-14
20.375,77.875,1.277,None,0,2024-08-14
17.625,74.625,0.14196,None,0,2024-08-21
17.625,74.875,0.73145,None,0,2024-08-21
17.625,75.125,0.95476,None,0,2024-08-21
17.625,75.375,0.651,None,0,2024-08-21
17.625,75.625,0.99498,None,0,2024-08-21
17.625,75.875,0.23984,None,0,2024-08-21
17.625,76.125,-0.14924,None,0,2024-08-21
17.625,76.375,0.088468,None,0,2024-08-21
17.625,76.625,-0.42435,None,0,2024-08-21
17.625,76.875,0.21685,None,0,2024-08-21
17.625,77.125,-0.51191,D0,1,2024-08-21
17.625,77.375,-0.12613,None,0,2024-08-21
17.625,77.625,-0.38171,None,0,2024-08-21
17.625,77.875,-1.0008,D1,2,2024-08-21
17.875,74.625,0.90764,None,0,2024-08-21
17.875,74.875,0.827,None,0,2024-08-21
17.875,75.125,-0.18185,None,0,2024-08-21
17.875,75.375,0.092945,None,0,2024-08-21
17.875,75.625,1.0343,None,0,2024-08-21
17.875,75.875,0.91824,None,0,2024-08-21
17.875,76.125,0.85606,None,0,2024-08-21
17.875,76.375,0.82083,None,0,2024-08-21
17.875,76.625,0.37651,None,0,2024-08-21
17.875,76.875,-0.51295,D0,1,2024-08-21
17.875,77.125,-0.12688,None,0,2024-08-21
17.875,77.375,-0.66516,D0,1,2024-08-21
17.875,77.625,-0.49044,None,0,2024-08-21
17.875,77.875,-0.16863,None,0,2024-08-21
18.125,74.625,1.4642,None,0,2024-08-21
18.125,74.875,1.0164,None,0,2024-08-21
18.125,75.125,-0.62766,D0,1,2024-08-21
18.125,75.375,0.63609,None,0,2024-08-21
18.125,75.625,0.99917,None,0,2024-08-21
18.125,75.875,0.77566,None,0,2024-08-21
18.125,76.125,1.8653,None,0,2024-08-21
18.125,76.375,0.86832,None,0,2024-08-21
18.125,76.625,0.20444,None,0,2024-08-21
18.125,76.875,-0.16826,None,0,2024-08-21
18.125,77.125,0.3927,None,0,2024-08-21
18.125,77.375,-0.54472,D0,1,2024-08-21
18.125,77.625,-0.1419,None,0,2024-08-21
18.125,77.875,-0.13984,None,0,2024-08-21
18.375,74.625,1.4491,None,0,2024-08-21
18.375,74.875,1.5801,None,0,2024-08-21
18.375,75.125,1.2695,None,0,2024-08-21
18.375,75.375,1.8228,None,0,2024-08-21
18.375,75.625,0.68248,None,0,2024-08-21
18.375,75.875,0.20868,None,0,2024-08-21
18.375,76.125,0.78279,None,0,2024-08-21
18.375,76.375,-0.03513,None,0,2024-08-21
18.375,76.625,0.40329,None,0,2024-08-21
18.375,76.875,0.71354,None,0,2024-08-21
18.375,77.125,0.17201,None,0,2024-08-21
18.375,77.375,-0.072331,None,0,2024-08-21
18.375,77.625,-0.40495,None,0,2024-08-21
18.375,77.875,0.22522,None,0,2024-08-21
18.625,74.625,1.38,None,0,2024-08-21
18.625,74.875,1.9222,None,0,2024-08-21
18.625,75.125,2.0907,None,0,2024-08-21
18.625,75.375,1.4939,None,0,2024-08-21
18.625,75.625,0.36683,None,0,2024-08-21
18.625,75.875,0.21603,None,0,2024-08-21
18.625,76.125,0.36024,None,0,2024-08-21
18.625,76.375,0.22302,None,0,2024-08-21
18.625,76.625,0.5108,None,0,2024-08-21
18.625,76.875,0.26718,None,0,2024-08-21
18.625,77.125,0.13791,None,0,2024-08-21
18.625,77.375,0.13105,None,0,2024-08-21
18.625,77.625,0.298,None,0,2024-08-21
18.625,77.875,0.23725,None,0,2024-08-21
18.875,74.625,1.1409,None,0,2024-08-21
18.875,74.875,1.4795,None,0,2024-08-21
18.875,75.125,0.36157,None,0,2024-08-21
18.875,75.375,0.26794,None,0,2024-08-21
18.875,75.625,-0.10852,None,0,2024-08-21
18.875,75.875,-0.14175,None,0,2024-08-21
18.875,76.125,0.66605,None,0,2024-08-21
18.875,76.375,0.32403,None,0,2024-08-21
18.875,76.625,0.89352,None,0,2024-08-21
18.875,76.875,-0.18812,None,0,2024-08-21
